Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6085508601,"Census Tract 5086.01, Santa Clara County, California",1372,32
6085508602,"Census Tract 5086.02, Santa Clara County, California",1731,65
6085508703,"Census Tract 5087.03, Santa Clara County, California",2874,92
6085508704,"Census Tract 5087.04, Santa Clara County, California",2258,62
6085508800,"Census Tract 5088, Santa Clara County, California",1405,41
6085508900,"Census Tract 5089, Santa Clara County, California",1726,58
6085509000,"Census Tract 5090, Santa Clara County, California",2434,67
6085509102,"Census Tract 5091.02, Santa Clara County, California",2316,54
6085509105,"Census Tract 5091.05, Santa Clara County, California",2707,111
6085509106,"Census Tract 5091.06, Santa Clara County, California",1652,41
6085509107,"Census Tract 5091.07, Santa Clara County, California",2064,50
6085509108,"Census Tract 5091.08, Santa Clara County, California",1818,93
6085509109,"Census Tract 5091.09, Santa Clara County, California",1928,106
6085509201,"Census Tract 5092.01, Santa Clara County, California",2399,85
6085509202,"Census Tract 5092.02, Santa Clara County, California",1842,85
6085509302,"Census Tract 5093.02, Santa Clara County, California",1038,42
6085509303,"Census Tract 5093.03, Santa Clara County, California",1680,64
6085509304,"Census Tract 5093.04, Santa Clara County, California",1171,61
6085509401,"Census Tract 5094.01, Santa Clara County, California",1580,66
6085509403,"Census Tract 5094.03, Santa Clara County, California",2041,79
6085509404,"Census Tract 5094.04, Santa Clara County, California",2775,83
6085509500,"Census Tract 5095, Santa Clara County, California",2306,84
6085509600,"Census Tract 5096, Santa Clara County, California",1447,68
6085509700,"Census Tract 5097, Santa Clara County, California",1423,53
6085509801,"Census Tract 5098.01, Santa Clara County, California",2127,77
6085509802,"Census Tract 5098.02, Santa Clara County, California",1120,45
6085509901,"Census Tract 5099.01, Santa Clara County, California",656,47
6085509902,"Census Tract 5099.02, Santa Clara County, California",1799,70
6085510001,"Census Tract 5100.01, Santa Clara County, California",2059,45
6085510002,"Census Tract 5100.02, Santa Clara County, California",1265,27
6085510100,"Census Tract 5101, Santa Clara County, California",1077,25
6085510200,"Census Tract 5102, Santa Clara County, California",1495,30
6085510300,"Census Tract 5103, Santa Clara County, California",1683,69
6085510400,"Census Tract 5104, Santa Clara County, California",1117,29
6085510500,"Census Tract 5105, Santa Clara County, California",1764,60
6085510600,"Census Tract 5106, Santa Clara County, California",2150,74
6085510700,"Census Tract 5107, Santa Clara County, California",1725,48
6085510801,"Census Tract 5108.01, Santa Clara County, California",1574,66
6085510802,"Census Tract 5108.02, Santa Clara County, California",832,28
6085510803,"Census Tract 5108.03, Santa Clara County, California",976,35
6085510900,"Census Tract 5109, Santa Clara County, California",1842,72
6085511000,"Census Tract 5110, Santa Clara County, California",2176,83
6085511100,"Census Tract 5111, Santa Clara County, California",1783,48
6085511200,"Census Tract 5112, Santa Clara County, California",1674,67
6085511300,"Census Tract 5113, Santa Clara County, California",3849,147
6085511400,"Census Tract 5114, Santa Clara County, California",1365,37
6085511500,"Census Tract 5115, Santa Clara County, California",2835,92
6085511604,"Census Tract 5116.04, Santa Clara County, California",1890,97
6085511605,"Census Tract 5116.05, Santa Clara County, California",240,55
6085511606,"Census Tract 5116.06, Santa Clara County, California",1720,159
6085511607,"Census Tract 5116.07, Santa Clara County, California",477,73
6085511701,"Census Tract 5117.01, Santa Clara County, California",1384,98
6085511702,"Census Tract 5117.02, Santa Clara County, California",917,61
6085511703,"Census Tract 5117.03, Santa Clara County, California",3052,147
6085511800,"Census Tract 5118, Santa Clara County, California",1627,95
6085511901,"Census Tract 5119.01, Santa Clara County, California",3081,58
6085511905,"Census Tract 5119.05, Santa Clara County, California",1124,19
6085511907,"Census Tract 5119.07, Santa Clara County, California",1376,22
6085511909,"Census Tract 5119.09, Santa Clara County, California",2741,36
6085511910,"Census Tract 5119.10, Santa Clara County, California",1132,20
6085511911,"Census Tract 5119.11, Santa Clara County, California",1861,68
6085511912,"Census Tract 5119.12, Santa Clara County, California",1815,43
6085511913,"Census Tract 5119.13, Santa Clara County, California",1493,29
6085511914,"Census Tract 5119.14, Santa Clara County, California",2002,47
6085512001,"Census Tract 5120.01, Santa Clara County, California",2023,43
6085512002,"Census Tract 5120.02, Santa Clara County, California",2506,57
6085512005,"Census Tract 5120.05, Santa Clara County, California",2278,38
6085512014,"Census Tract 5120.14, Santa Clara County, California",1918,31
6085512015,"Census Tract 5120.15, Santa Clara County, California",1809,27
6085512016,"Census Tract 5120.16, Santa Clara County, California",3488,50
6085512017,"Census Tract 5120.17, Santa Clara County, California",2017,36
6085512018,"Census Tract 5120.18, Santa Clara County, California",2665,54
6085512019,"Census Tract 5120.19, Santa Clara County, California",1828,32
6085512020,"Census Tract 5120.20, Santa Clara County, California",2832,82
6085512021,"Census Tract 5120.21, Santa Clara County, California",2140,33
6085512022,"Census Tract 5120.22, Santa Clara County, California",1916,39
6085512023,"Census Tract 5120.23, Santa Clara County, California",2052,30
6085512024,"Census Tract 5120.24, Santa Clara County, California",1765,36
6085512025,"Census Tract 5120.25, Santa Clara County, California",867,16
6085512026,"Census Tract 5120.26, Santa Clara County, California",1633,30
6085512027,"Census Tract 5120.27, Santa Clara County, California",1660,36
6085512028,"Census Tract 5120.28, Santa Clara County, California",2817,63
6085512029,"Census Tract 5120.29, Santa Clara County, California",2424,31
6085512030,"Census Tract 5120.30, Santa Clara County, California",1011,23
6085512031,"Census Tract 5120.31, Santa Clara County, California",1448,27
6085512032,"Census Tract 5120.32, Santa Clara County, California",1088,21
6085512033,"Census Tract 5120.33, Santa Clara County, California",2019,82
6085512034,"Census Tract 5120.34, Santa Clara County, California",1070,23
6085512035,"Census Tract 5120.35, Santa Clara County, California",1424,25
6085512100,"Census Tract 5121, Santa Clara County, California",523,65
6085512200,"Census Tract 5122, Santa Clara County, California",1614,105
6085512304,"Census Tract 5123.04, Santa Clara County, California",3383,147
6085512305,"Census Tract 5123.05, Santa Clara County, California",1297,40
6085512306,"Census Tract 5123.06, Santa Clara County, California",3249,150
6085512307,"Census Tract 5123.07, Santa Clara County, California",2417,97
6085512308,"Census Tract 5123.08, Santa Clara County, California",2097,108
6085512309,"Census Tract 5123.09, Santa Clara County, California",1755,73
6085512401,"Census Tract 5124.01, Santa Clara County, California",1354,75
6085512402,"Census Tract 5124.02, Santa Clara County, California",1405,95
6085512503,"Census Tract 5125.03, Santa Clara County, California",2573,96
6085512505,"Census Tract 5125.05, Santa Clara County, California",2200,101
6085512506,"Census Tract 5125.06, Santa Clara County, California",1887,87
6085512507,"Census Tract 5125.07, Santa Clara County, California",3174,154
6085512508,"Census Tract 5125.08, Santa Clara County, California",2646,145
6085512601,"Census Tract 5126.01, Santa Clara County, California",2262,101
6085512602,"Census Tract 5126.02, Santa Clara County, California",796,55
6085512700,"Census Tract 5127, Santa Clara County, California",303,61
6087100100,"Census Tract 1001, Santa Cruz County, California",922,49
6087100200,"Census Tract 1002, Santa Cruz County, California",2728,130
6087100300,"Census Tract 1003, Santa Cruz County, California",1228,49
6087100400,"Census Tract 1004, Santa Cruz County, California",456,52
6087100500,"Census Tract 1005, Santa Cruz County, California",2189,91
6087100600,"Census Tract 1006, Santa Cruz County, California",1313,65
6087100700,"Census Tract 1007, Santa Cruz County, California",1015,57
6087100800,"Census Tract 1008, Santa Cruz County, California",3244,110
6087100900,"Census Tract 1009, Santa Cruz County, California",2236,95
6087101000,"Census Tract 1010, Santa Cruz County, California",3690,173
6087101100,"Census Tract 1011, Santa Cruz County, California",2401,78
6087101200,"Census Tract 1012, Santa Cruz County, California",1333,76
6087110100,"Census Tract 1101, Santa Cruz County, California",2625,116
6087110200,"Census Tract 1102, Santa Cruz County, California",2300,143
6087110300,"Census Tract 1103, Santa Cruz County, California",1886,110
6087110400,"Census Tract 1104, Santa Cruz County, California",2012,95
6087110501,"Census Tract 1105.01, Santa Cruz County, California",2090,104
6087110502,"Census Tract 1105.02, Santa Cruz County, California",1580,78
6087110600,"Census Tract 1106, Santa Cruz County, California",2200,118
6087110700,"Census Tract 1107, Santa Cruz County, California",886,54
6087120200,"Census Tract 1202, Santa Cruz County, California",1663,64
6087120301,"Census Tract 1203.01, Santa Cruz County, California",2340,82
6087120302,"Census Tract 1203.02, Santa Cruz County, California",1197,40
6087120400,"Census Tract 1204, Santa Cruz County, California",2568,65
6087120500,"Census Tract 1205, Santa Cruz County, California",2886,82
6087120600,"Census Tract 1206, Santa Cruz County, California",1973,68
6087120700,"Census Tract 1207, Santa Cruz County, California",1949,142
6087120800,"Census Tract 1208, Santa Cruz County, California",2557,116
6087120900,"Census Tract 1209, Santa Cruz County, California",3286,223
6087121000,"Census Tract 1210, Santa Cruz County, California",1529,60
6087121100,"Census Tract 1211, Santa Cruz County, California",1195,60
6087121200,"Census Tract 1212, Santa Cruz County, California",2540,70
6087121300,"Census Tract 1213, Santa Cruz County, California",1670,50
6087121401,"Census Tract 1214.01, Santa Cruz County, California",882,31
6087121402,"Census Tract 1214.02, Santa Cruz County, California",1500,57
6087121403,"Census Tract 1214.03, Santa Cruz County, California",1398,48
6087121500,"Census Tract 1215, Santa Cruz County, California",2801,89
6087121600,"Census Tract 1216, Santa Cruz County, California",3158,98
6087121700,"Census Tract 1217, Santa Cruz County, California",3215,172
6087121800,"Census Tract 1218, Santa Cruz County, California",2732,189
6087122001,"Census Tract 1220.01, Santa Cruz County, California",1927,56
6087122002,"Census Tract 1220.02, Santa Cruz County, California",1397,65
6087122003,"Census Tract 1220.03, Santa Cruz County, California",2740,113
6087122100,"Census Tract 1221, Santa Cruz County, California",1838,73
6087122201,"Census Tract 1222.01, Santa Cruz County, California",3536,83
6087122202,"Census Tract 1222.02, Santa Cruz County, California",894,76
6087122203,"Census Tract 1222.03, Santa Cruz County, California",1758,41
6087122300,"Census Tract 1223, Santa Cruz County, California",2268,76
6087122400,"Census Tract 1224, Santa Cruz County, California",2678,84
6087122500,"Census Tract 1225, Santa Cruz County, California",1341,89
6087123100,"Census Tract 1231, Santa Cruz County, California",780,64
6087123300,"Census Tract 1233, Santa Cruz County, California",456,28
6089010100,"Census Tract 101, Shasta County, California",862,59
6089010200,"Census Tract 102, Shasta County, California",1213,41
6089010300,"Census Tract 103, Shasta County, California",1710,72
6089010400,"Census Tract 104, Shasta County, California",1667,82
